# wavelength  width   flux
8.767924800000000687e+03 2.182999999999999940e-01 2.279400000000000048e+01
8.776221700000000055e+03 2.280000000000000082e-01 1.028299999999999947e+01
8.778343800000000556e+03 2.116999999999999993e-01 2.500329999999999941e+01
8.827112300000000687e+03 2.210000000000000020e-01 5.942999999999999972e+01
8.836449199999999109e+03 3.799000000000000155e-01 1.389850000000000030e+01
8.867605499999999665e+03 2.521999999999999797e-01 1.414310000000000045e+01
8.885856400000000576e+03 2.442999999999999894e-01 4.326930000000000121e+01
8.903122999999999593e+03 2.235000000000000042e-01 1.949149999999999849e+01
8.919636699999999109e+03 3.639999999999999902e-01 3.145420000000000016e+01
8.943408199999999852e+03 2.262000000000000122e-01 1.669440000000000168e+01
8.957951199999999517e+03 2.530999999999999917e-01 1.931619999999999848e+01
8.958253899999999703e+03 2.399999999999999911e-01 1.929119999999999990e+01
8.988383799999999610e+03 2.406000000000000083e-01 1.037310000000000088e+01
9.001134799999999814e+03 2.152000000000000024e-01 1.199220000000000041e+01
9.001592800000000352e+03 2.149000000000000077e-01 1.205889999999999951e+01
9.306010700000000725e+03 2.268000000000000016e-01 1.162579999999999991e+01
9.307384799999999814e+03 2.290999999999999981e-01 2.151810000000000045e+01
9.312904300000000148e+03 2.540000000000000036e-01 1.029499999999999993e+01
9.313345699999999852e+03 2.381999999999999951e-01 3.477349999999999852e+01
9.322480499999999665e+03 2.245000000000000051e-01 1.090189999999999948e+01
9.323762699999999313e+03 2.310999999999999999e-01 3.394149999999999778e+01
9.337873999999999796e+03 2.363999999999999990e-01 1.263470000000000049e+01
9.375976599999999962e+03 2.379000000000000004e-01 8.972870000000000346e+01
9.419746100000000297e+03 2.654000000000000248e-01 1.842129999999999868e+01
9.439669900000000780e+03 2.600000000000000089e-01 5.815520000000000067e+01
9.458524400000000242e+03 2.444999999999999951e-01 2.708940000000000126e+01
9.476895500000000538e+03 3.835999999999999965e-01 3.994769999999999754e+01
9.502834999999999127e+03 2.353999999999999981e-01 2.174640000000000128e+01
9.519205099999999220e+03 2.414999999999999925e-01 2.472070000000000078e+01
9.519539099999999962e+03 2.572999999999999732e-01 2.602609999999999957e+01
9.552546899999999368e+03 2.509000000000000119e-01 1.556700000000000017e+01
9.567113300000000891e+03 2.338000000000000078e-01 1.822100000000000009e+01
9.567611300000000483e+03 2.316000000000000003e-01 1.741079999999999828e+01
9.699342800000000352e+03 3.049000000000000044e-01 1.781200000000000117e+01
9.719838900000000649e+03 2.702999999999999847e-01 2.695939999999999870e+01
9.791116200000000390e+03 2.841000000000000192e-01 6.050730000000000075e+01
9.799827100000000428e+03 2.831000000000000183e-01 1.252260000000000062e+01
9.848494099999999889e+03 2.917000000000000148e-01 1.621509999999999962e+01
9.872147499999999127e+03 3.173000000000000265e-01 5.026180000000000092e+01
9.894751000000000204e+03 2.500999999999999890e-01 2.069419999999999860e+01
9.914554700000000594e+03 3.353999999999999759e-01 2.916130000000000067e+01
9.914777299999999741e+03 3.022000000000000242e-01 3.224430000000000263e+01
9.941665000000000873e+03 2.535000000000000031e-01 2.303300000000000125e+01
9.942212900000000445e+03 2.616999999999999882e-01 1.234980000000000011e+01
9.945297899999999572e+03 3.350000000000000200e-01 1.600649999999999906e+01
9.946514600000000428e+03 2.619000000000000217e-01 3.416590000000000060e+01
9.956598599999999351e+03 2.721000000000000085e-01 4.769259999999999877e+01
9.961721700000000055e+03 2.913999999999999924e-01 1.985729999999999862e+01
9.962143599999999424e+03 2.561999999999999833e-01 1.876289999999999836e+01
9.972357400000000780e+03 2.575999999999999956e-01 1.288930000000000042e+01
1.001283109999999942e+04 2.501999999999999780e-01 8.541840000000000543e+01
1.001370609999999942e+04 2.293999999999999928e-01 1.033409999999999940e+01
1.002547559999999976e+04 3.896999999999999909e-01 2.408569999999999922e+01
1.006072459999999955e+04 2.963999999999999968e-01 1.874470000000000169e+01
1.008245800000000054e+04 2.912000000000000144e-01 5.533950000000000102e+01
1.010362500000000000e+04 2.867999999999999994e-01 2.174190000000000111e+01
1.012401460000000043e+04 4.240999999999999770e-01 4.515879999999999939e+01
1.015298439999999937e+04 2.661999999999999922e-01 2.555679999999999907e+01
1.017154689999999937e+04 2.686999999999999944e-01 3.426259999999999906e+01
1.017196680000000015e+04 4.162000000000000144e-01 3.722010000000000218e+01
1.018105370000000039e+04 2.670000000000000151e-01 1.174649999999999928e+01
1.018971969999999965e+04 3.210000000000000075e-01 4.431139999999999901e+01
1.020306639999999970e+04 2.480999999999999872e-01 2.129810000000000159e+01
1.020880760000000009e+04 2.570000000000000062e-01 1.882349999999999923e+01
1.021106639999999970e+04 2.788999999999999813e-01 5.871439999999999770e+01
1.022554000000000087e+04 2.429999999999999938e-01 2.181749999999999901e+01
1.022608499999999913e+04 2.492000000000000048e-01 2.114859999999999829e+01
1.023067189999999937e+04 2.650000000000000133e-01 2.320050000000000168e+01
1.028665229999999974e+04 3.064000000000000057e-01 1.544082999999999970e+02
1.029587299999999959e+04 2.938999999999999946e-01 2.780099999999999838e+01
1.029619139999999970e+04 3.189000000000000168e-01 3.063090000000000046e+01
1.034728520000000026e+04 3.081999999999999740e-01 3.631029999999999802e+01
1.037288379999999961e+04 3.245999999999999996e-01 6.702129999999999654e+01
